OrderID,OrderDate,CustomerName,State,Product,Category,Quantity,Price,MarketingSource,SatisfactionScore
ORD-1001,2024-12-05,Kappa Logistics,TX,Robotic Vacuum,Smart Home,9,238.15,Google Ads,5
ORD-1002,2023-11-15,Delta Tech,GA,Portable Power Bank,Accessories,2,106.71,Social Media,3
ORD-1003,2024-09-25,Gamma Solutions,PA,Robotic Vacuum,Smart Home,3,185.09,Referral,5
ORD-1004,2023-03-07,Iota Innovations,TX,Smart Thermostat,Smart Home,1,251.21,Referral,5
ORD-1005,2023-12-09,Kappa Logistics,TX,Robotic Vacuum,Smart Home,2,315.25,Email Campaign,5
ORD-1006,2024-02-08,Epsilon Global,NY,Noise-Cancelling Earbuds,Accessories,3,379.58,Email Campaign,5
ORD-1007,2024-10-19,Delta Tech,PA,Smartwatch,Wearables,4,473.43,Organic Search,5
ORD-1008,2024-04-10,Omega Holdings,IL,Fitness Tracker,Wearables,6,138.09,Social Media,4
ORD-1009,2024-08-08,Iota Innovations,NY,Portable Power Bank,Accessories,6,58.96,Social Media,5
ORD-1010,2023-07-21,Beta Industries,GA,AR Glasses,Wearables,2,47.08,Referral,3
ORD-1011,2023-03-29,Beta Industries,FL,Robotic Vacuum,Smart Home,1,98.22,Referral,3
ORD-1012,2024-02-07,Gamma Solutions,NY,Robotic Vacuum,Smart Home,6,356.07,Email Campaign,4
ORD-1013,2024-12-10,Omega Holdings,FL,Wireless Charger,Accessories,5,228.85,Email Campaign,4
ORD-1014,2023-06-21,Iota Innovations,OH,Fitness Tracker,Wearables,6,425.7,Google Ads,3
ORD-1015,2023-11-20,Alpha Corp,TX,Smart Thermostat,Smart Home,4,118.82,Email Campaign,4
ORD-1016,2023-08-20,Iota Innovations,TX,AR Glasses,Wearables,1,415.5,Google Ads,3
ORD-1017,2023-07-06,Beta Industries,PA,Robotic Vacuum,Smart Home,1,244.07,Social Media,5
ORD-1018,2024-07-12,Theta Digital,TX,AI Voice Assistant,Smart Home,9,494.1,Google Ads,3
ORD-1019,2023-10-22,Zeta Services,GA,AI Voice Assistant,Smart Home,6,349.77,Google Ads,4
ORD-1020,2023-04-24,Delta Tech,FL,AR Glasses,Wearables,9,334.99,Referral,4
ORD-1021,2023-09-25,Epsilon Global,GA,Portable Power Bank,Accessories,5,432.19,Google Ads,3
ORD-1022,2023-10-13,Kappa Logistics,IL,Smart Thermostat,Smart Home,1,441.14,Organic Search,3
ORD-1023,2024-04-06,Delta Tech,TX,Smartwatch,Wearables,9,265.55,Google Ads,4
ORD-1024,2023-06-14,Kappa Logistics,GA,Robotic Vacuum,Smart Home,5,62.12,Email Campaign,4
ORD-1025,2024-01-07,Zeta Services,NY,AI Voice Assistant,Smart Home,9,366.62,Social Media,3
ORD-1026,2024-06-17,Delta Tech,FL,Noise-Cancelling Earbuds,Accessories,4,114.94,Social Media,5
ORD-1027,2024-10-22,Omega Holdings,NY,Smartwatch,Wearables,3,248.01,Organic Search,4
ORD-1028,2023-03-02,Omega Holdings,PA,Robotic Vacuum,Smart Home,3,158.99,Referral,5
ORD-1029,2024-11-13,Epsilon Global,IL,Fitness Tracker,Wearables,2,107.46,Organic Search,4
ORD-1030,2024-11-15,Iota Innovations,PA,Fitness Tracker,Wearables,9,69.42,Email Campaign,3
ORD-1031,2024-12-05,Zeta Services,OH,Robotic Vacuum,Smart Home,7,438.13,Referral,5
ORD-1032,2024-05-02,Beta Industries,IL,Wireless Charger,Accessories,1,263.87,Google Ads,4
ORD-1033,2023-12-24,Zeta Services,OH,Smart Thermostat,Smart Home,9,111.52,Social Media,4
ORD-1034,2024-12-05,Delta Tech,TX,Smartwatch,Wearables,6,256.78,Social Media,5
ORD-1035,2023-12-21,Kappa Logistics,CA,Robotic Vacuum,Smart Home,3,152.15,Social Media,4
ORD-1036,2024-11-29,Omega Holdings,OH,Smartwatch,Wearables,2,107.64,Email Campaign,4
ORD-1037,2023-01-18,Delta Tech,TX,Noise-Cancelling Earbuds,Accessories,6,195.7,Google Ads,4
ORD-1038,2024-01-12,Gamma Solutions,FL,Noise-Cancelling Earbuds,Accessories,1,65.93,Organic Search,5
ORD-1039,2023-02-04,Theta Digital,FL,Portable Power Bank,Accessories,1,38.76,Social Media,4
ORD-1040,2023-02-24,Theta Digital,OH,Wireless Charger,Accessories,3,159.46,Referral,5
ORD-1041,2023-07-01,Kappa Logistics,NY,Wireless Charger,Accessories,8,433.09,Referral,5
ORD-1042,2024-09-27,Delta Tech,NY,AI Voice Assistant,Smart Home,3,439.98,Organic Search,4
ORD-1043,2024-03-30,Theta Digital,CA,Robotic Vacuum,Smart Home,1,244.35,Google Ads,4
ORD-1044,2024-05-04,Zeta Services,PA,Portable Power Bank,Accessories,8,474.76,Referral,5
ORD-1045,2024-05-16,Kappa Logistics,CA,Smartwatch,Wearables,3,485.64,Organic Search,5
ORD-1046,2024-09-06,Delta Tech,PA,Robotic Vacuum,Smart Home,4,137.97,Referral,4
ORD-1047,2023-09-02,Gamma Solutions,IL,Fitness Tracker,Wearables,3,331.97,Organic Search,4
ORD-1048,2023-08-08,Iota Innovations,CA,Fitness Tracker,Wearables,1,240.38,Social Media,4
ORD-1049,2024-01-07,Theta Digital,OH,Smart Thermostat,Smart Home,3,194.51,Organic Search,5
ORD-1050,2023-01-19,Alpha Corp,CA,Smartwatch,Wearables,9,378.36,Email Campaign,4
ORD-1051,2023-06-20,Epsilon Global,CA,Smart Thermostat,Smart Home,3,63.8,Organic Search,4
ORD-1052,2024-02-28,Gamma Solutions,NY,Wireless Charger,Accessories,4,299.41,Organic Search,4
ORD-1053,2023-09-13,Zeta Services,OH,Smartwatch,Wearables,7,406.13,Email Campaign,3
ORD-1054,2023-02-13,Zeta Services,GA,Robotic Vacuum,Smart Home,5,447.13,Email Campaign,5
ORD-1055,2024-10-28,Epsilon Global,TX,Robotic Vacuum,Smart Home,6,208.08,Social Media,4
ORD-1056,2023-01-26,Omega Holdings,OH,AR Glasses,Wearables,1,410.58,Referral,4
ORD-1057,2024-10-24,Beta Industries,CA,Smartwatch,Wearables,7,75.96,Google Ads,3
ORD-1058,2023-03-30,Gamma Solutions,FL,AR Glasses,Wearables,7,487.28,Google Ads,4
ORD-1059,2023-12-25,Iota Innovations,PA,Smartwatch,Wearables,6,231.56,Email Campaign,4
ORD-1060,2023-06-26,Zeta Services,IL,AR Glasses,Wearables,9,118.92,Email Campaign,3
ORD-1061,2024-08-08,Zeta Services,NY,Wireless Charger,Accessories,9,497.46,Organic Search,3
ORD-1062,2024-03-14,Zeta Services,GA,Noise-Cancelling Earbuds,Accessories,7,136.35,Email Campaign,4
ORD-1063,2023-03-25,Theta Digital,PA,AR Glasses,Wearables,6,413.8,Organic Search,4
ORD-1064,2023-11-11,Delta Tech,IL,Noise-Cancelling Earbuds,Accessories,4,322.01,Email Campaign,4
ORD-1065,2024-10-24,Omega Holdings,PA,Wireless Charger,Accessories,4,97.27,Google Ads,4
ORD-1066,2023-01-24,Kappa Logistics,CA,Portable Power Bank,Accessories,8,32.65,Social Media,4
ORD-1067,2024-04-12,Alpha Corp,NY,Wireless Charger,Accessories,8,357.07,Referral,4
ORD-1068,2024-05-13,Kappa Logistics,CA,Fitness Tracker,Wearables,1,270.45,Organic Search,3
ORD-1069,2024-02-28,Gamma Solutions,GA,AI Voice Assistant,Smart Home,9,318.42,Social Media,5
ORD-1070,2023-10-09,Zeta Services,TX,Wireless Charger,Accessories,2,399.65,Email Campaign,4
ORD-1071,2023-05-15,Theta Digital,IL,Smartwatch,Wearables,1,99.68,Organic Search,4
ORD-1072,2023-09-03,Omega Holdings,IL,Smart Thermostat,Smart Home,9,356.15,Social Media,5
ORD-1073,2024-10-24,Delta Tech,GA,Smart Thermostat,Smart Home,1,139.06,Email Campaign,5
ORD-1074,2024-10-18,Kappa Logistics,PA,Portable Power Bank,Accessories,8,167.58,Organic Search,3
ORD-1075,2024-10-15,Epsilon Global,CA,AI Voice Assistant,Smart Home,4,478.28,Google Ads,5
ORD-1076,2024-11-04,Beta Industries,TX,Robotic Vacuum,Smart Home,7,340.04,Social Media,5
ORD-1077,2023-12-23,Alpha Corp,TX,Fitness Tracker,Wearables,5,233.81,Google Ads,3
ORD-1078,2023-10-11,Omega Holdings,IL,AR Glasses,Wearables,1,294.99,Organic Search,4
ORD-1079,2023-10-24,Gamma Solutions,TX,Noise-Cancelling Earbuds,Accessories,5,291.66,Organic Search,3
ORD-1080,2024-12-13,Gamma Solutions,PA,AI Voice Assistant,Smart Home,5,405.35,Social Media,4
ORD-1081,2024-05-25,Omega Holdings,IL,Portable Power Bank,Accessories,1,36.43,Organic Search,3
ORD-1082,2024-10-30,Omega Holdings,IL,Fitness Tracker,Wearables,8,427.38,Organic Search,3
ORD-1083,2023-12-17,Alpha Corp,CA,Smartwatch,Wearables,4,210.76,Google Ads,4
ORD-1084,2024-11-08,Gamma Solutions,TX,Noise-Cancelling Earbuds,Accessories,1,48.54,Social Media,3
ORD-1085,2024-07-06,Delta Tech,OH,Noise-Cancelling Earbuds,Accessories,2,224.85,Organic Search,3
ORD-1086,2023-03-17,Alpha Corp,PA,Wireless Charger,Accessories,2,100.85,Google Ads,3
ORD-1087,2023-06-10,Epsilon Global,TX,AR Glasses,Wearables,2,242.15,Organic Search,5
ORD-1088,2024-10-12,Kappa Logistics,OH,AI Voice Assistant,Smart Home,9,363.87,Google Ads,5
ORD-1089,2024-03-22,Epsilon Global,PA,Smart Thermostat,Smart Home,4,117.94,Social Media,4
ORD-1090,2024-07-11,Iota Innovations,GA,AI Voice Assistant,Smart Home,3,492.18,Social Media,4
ORD-1091,2024-04-13,Delta Tech,OH,AI Voice Assistant,Smart Home,6,345.5,Referral,3
ORD-1092,2023-07-25,Beta Industries,GA,Portable Power Bank,Accessories,2,203.99,Organic Search,4
ORD-1093,2023-04-07,Zeta Services,CA,Robotic Vacuum,Smart Home,4,271.68,Google Ads,3
ORD-1094,2023-12-21,Beta Industries,TX,Wireless Charger,Accessories,4,233.85,Google Ads,4
ORD-1095,2023-03-12,Gamma Solutions,GA,Noise-Cancelling Earbuds,Accessories,3,285.29,Email Campaign,4
ORD-1096,2024-10-07,Iota Innovations,IL,Robotic Vacuum,Smart Home,1,95.46,Google Ads,5
ORD-1097,2024-04-29,Theta Digital,PA,Smartwatch,Wearables,6,412.78,Google Ads,5
ORD-1098,2024-07-03,Omega Holdings,TX,Smartwatch,Wearables,9,466.64,Referral,3
ORD-1099,2023-09-08,Kappa Logistics,IL,AR Glasses,Wearables,6,296.28,Google Ads,5
ORD-1100,2023-09-11,Kappa Logistics,TX,Smartwatch,Wearables,1,480.89,Email Campaign,4
ORD-1101,2024-02-11,Beta Industries,FL,Robotic Vacuum,Smart Home,8,365.93,Referral,3
ORD-1102,2024-06-29,Beta Industries,NY,AR Glasses,Wearables,7,49.98,Email Campaign,3
ORD-1103,2023-11-19,Epsilon Global,FL,Wireless Charger,Accessories,3,338.64,Organic Search,5
ORD-1104,2024-12-01,Iota Innovations,NY,Smartwatch,Wearables,6,474.77,Organic Search,5
ORD-1105,2024-02-08,Zeta Services,OH,Wireless Charger,Accessories,9,366.4,Email Campaign,3
ORD-1106,2023-12-18,Theta Digital,TX,Smartwatch,Wearables,5,97.42,Organic Search,4
ORD-1107,2023-01-27,Delta Tech,TX,Smart Thermostat,Smart Home,8,444.88,Organic Search,3
ORD-1108,2024-12-11,Epsilon Global,IL,Wireless Charger,Accessories,6,436.17,Email Campaign,3
ORD-1109,2024-03-27,Alpha Corp,FL,Smartwatch,Wearables,9,163.93,Organic Search,3
ORD-1110,2024-12-25,Kappa Logistics,TX,Noise-Cancelling Earbuds,Accessories,2,78.67,Social Media,4
ORD-1111,2024-03-07,Kappa Logistics,PA,Smart Thermostat,Smart Home,7,166.49,Email Campaign,5
ORD-1112,2024-03-14,Gamma Solutions,CA,AR Glasses,Wearables,4,62.37,Referral,5
ORD-1113,2023-09-06,Kappa Logistics,NY,Smartwatch,Wearables,5,190.93,Google Ads,3
ORD-1114,2023-12-28,Zeta Services,GA,Robotic Vacuum,Smart Home,3,270.26,Social Media,4
ORD-1115,2023-03-21,Omega Holdings,GA,Noise-Cancelling Earbuds,Accessories,6,172.01,Referral,4
ORD-1116,2023-02-26,Gamma Solutions,OH,AR Glasses,Wearables,2,336.41,Organic Search,3
ORD-1117,2024-05-24,Delta Tech,IL,Smart Thermostat,Smart Home,9,87.09,Organic Search,3
ORD-1118,2024-12-04,Delta Tech,GA,Portable Power Bank,Accessories,7,56.3,Google Ads,4
